algorithm,instance,run,memory,code,time,iterations,graph,nodes,edges,modularity,N,clusters,conductance,cut
magi,cond-mat,3,1966572,0,1208.7324125766754,100,cond-mat.graph,16726,95188,0.121790082,1103510138,3,0.27187479,0.00014650
magi,cond-mat,4,1966572,0,1113.0651879310608,100,cond-mat.graph,16726,95188,0.088804862,804639134,4,0.34433459,0.00010006
magi,cond-mat,5,1966572,0,1082.9397222995758,100,cond-mat.graph,16726,95188,0.069832383,632734146,3,0.34603205,0.00007248
louvain,cond-mat,1,28672,0,0.1033,0,cond-mat.graph,16726,95188,0.844928390,7655689426,794,0.00322867,0.00000124
louvain,cond-mat,2,28672,0,0.0840,0,cond-mat.graph,16726,95188,0.843761488,7645116420,789,0.00294471,0.00000113
louvain,cond-mat,3,28672,0,0.0915,0,cond-mat.graph,16726,95188,0.844699632,7653616712,786,0.00290349,0.00000114
louvain,cond-mat,4,28672,0,0.0847,0,cond-mat.graph,16726,95188,0.844299168,7649988204,784,0.00274401,0.00000108
louvain,cond-mat,5,28672,0,0.0805,0,cond-mat.graph,16726,95188,0.847247607,7676703284,785,0.00280944,0.00000109
leiden,cond-mat,1,26624,0,0.0692,0,cond-mat.graph,16726,95188,0.850128042,7702802208,790,0.00288060,0.00000112
leiden,cond-mat,2,26624,0,0.0676,0,cond-mat.graph,16726,95188,0.850415124,7705403386,792,0.00286925,0.00000112
leiden,cond-mat,3,26624,0,0.0709,0,cond-mat.graph,16726,95188,0.850610955,7707177762,788,0.00285790,0.00000113
leiden,cond-mat,4,26624,0,0.0683,0,cond-mat.graph,16726,95188,0.850999910,7710701990,791,0.00274637,0.00000108
leiden,cond-mat,5,26624,0,0.0677,0,cond-mat.graph,16726,95188,0.849723912,7699140480,790,0.00278135,0.00000108
infomap,cond-mat,1,56828,0,0.4484,0,cond-mat.graph,16726,95188,0.815827949,7392017450,782,0.00261222,0.00000087
infomap,cond-mat,2,56828,0,0.4621,0,cond-mat.graph,16726,95188,0.815827949,7392017450,782,0.00261222,0.00000087
infomap,cond-mat,3,56828,0,0.4710,0,cond-mat.graph,16726,95188,0.815827949,7392017450,782,0.00261222,0.00000087
infomap,cond-mat,4,56828,0,0.4897,0,cond-mat.graph,16726,95188,0.815827949,7392017450,782,0.00261222,0.00000087
